投资方,年份,无披露,1000万以下,1000万-1亿（不含）,1-10亿（不含）及以上,10-100亿（不含）,100亿及以上
阿里巴巴,2008,0,0,0,0,0,0
阿里巴巴,2009,0,0,0,0,0,0
阿里巴巴,2010,1,0,0,0,0,0
阿里巴巴,2011,0,0,0,0,0,0
阿里巴巴,2012,0,0,0,0,0,0
阿里巴巴,2013,0,0,0,0,2,0
阿里巴巴,2014,1,0,1,1,3,0
阿里巴巴,2015,1,0,6,4,3,0
阿里巴巴,2016,3,0,3,5,3,0
阿里巴巴,2017,1,0,6,7,7,0
阿里巴巴,2018,23,0,5,6,6,1
阿里巴巴,2019,3,0,5,4,0,0
阿里巴巴,2020,1,0,1,2,0,0
腾讯,2008,0,0,0,0,0,0
腾讯,2009,0,0,0,0,0,0
腾讯,2010,0,0,0,0,0,0
腾讯,2011,0,0,0,0,0,0
腾讯,2012,1,0,2,1,0,0
腾讯,2013,0,1,2,3,0,0
腾讯,2014,2,1,7,5,1,0
腾讯,2015,2,3,17,7,0,0
腾讯,2016,4,1,5,9,2,1
腾讯,2017,2,0,8,11,3,2
腾讯,2018,3,0,5,6,8,2
腾讯,2019,4,1,3,14,6,0
腾讯,2020,7,0,2,11,5,0
