投资方,年份,无披露,1000万以下,1000万-1亿（不含）,1-10亿（不含）及以上,10-100亿（不含）,100亿及以上
阿里巴巴,2008,0,0,2,0,0,0
阿里巴巴,2009,0,0,2,2,0,0
阿里巴巴,2010,4,1,2,4,0,0
阿里巴巴,2011,1,0,6,2,0,0
阿里巴巴,2012,1,0,3,2,0,0
阿里巴巴,2013,7,1,5,11,7,0
阿里巴巴,2014,3,4,12,12,14,0
阿里巴巴,2015,13,1,16,15,14,2
阿里巴巴,2016,14,5,16,11,8,2
阿里巴巴,2017,20,0,13,19,16,3
阿里巴巴,2018,47,0,9,19,21,7
阿里巴巴,2019,21,0,7,10,14,3
阿里巴巴,2020,12,0,1,7,6,2
腾讯,2008,1,0,4,0,0,0
腾讯,2009,0,0,2,0,0,0
腾讯,2010,3,0,5,1,0,0
腾讯,2011,2,1,9,6,1,0
腾讯,2012,4,5,18,5,0,0
腾讯,2013,6,4,13,5,1,0
腾讯,2014,8,2,33,29,10,0
腾讯,2015,15,7,51,36,13,2
腾讯,2016,37,9,25,40,12,3
腾讯,2017,46,5,32,37,19,4
腾讯,2018,85,4,20,35,39,6
腾讯,2019,44,1,16,46,22,1
腾讯,2020,53,1,14,41,27,3
