投资方,年份,无披露,1000万以下,1000万-1亿（不含）,1-10亿（不含）及以上,10-100亿（不含）,100亿及以上
阿里巴巴,2008,0,0,2,0,0,0
阿里巴巴,2009,0,0,2,2,0,0
阿里巴巴,2010,3,1,2,4,0,0
阿里巴巴,2011,1,0,6,2,0,0
阿里巴巴,2012,1,0,3,2,0,0
阿里巴巴,2013,7,1,5,11,5,0
阿里巴巴,2014,2,4,11,11,11,0
阿里巴巴,2015,12,1,10,11,11,2
阿里巴巴,2016,11,5,13,6,5,2
阿里巴巴,2017,19,0,7,12,9,3
阿里巴巴,2018,24,0,4,13,15,6
阿里巴巴,2019,18,0,2,6,14,3
阿里巴巴,2020,11,0,0,5,6,2
腾讯,2008,1,0,3,0,0,0
腾讯,2009,0,0,2,0,0,0
腾讯,2010,3,0,4,1,0,0
腾讯,2011,2,1,9,6,1,0
腾讯,2012,3,5,16,4,0,0
腾讯,2013,6,3,11,2,1,0
腾讯,2014,6,1,26,24,9,0
腾讯,2015,13,4,34,29,13,2
腾讯,2016,33,8,20,31,10,2
腾讯,2017,44,5,24,26,16,2
腾讯,2018,82,4,15,29,31,4
腾讯,2019,40,0,13,32,16,1
腾讯,2020,46,1,12,30,22,3
