投资方,序号,产品名称,所属公司,地区,参与轮次,轮次,投资时间,投资年份,money,投资金额,投资金额_等级,行业,产品介绍,游戏,直播/视频,教育培训,食品饮料/零售,旅游/OTA,金融/支付,社交社区,硬件/生产制造,电子商务,生活服务,物流运输,汽车交通,文娱传媒,房产家居,工具软件,医疗健康/生物医药,企业服务,人工智能,运动健身,科创/技术研发,电信/通信,其他,GESHU,所属行业
阿里巴巴,1,十荟团,北京十荟科技有限公司,0,C++轮,C,2020/11/30,2020,12.838,1283800000,4,17,十荟团是一家美食社区电商服务平台，十荟团锁定社区果蔬、生鲜和家居用品，以社区为切入点，瞄准家庭日常消费场景，全力开拓二三线城市市场。搜罗全球生鲜美食，借助智能高效的供应链，把新鲜带给每个家庭，让福利惠及每位用户。  ,,,,,,,,,,,,,,,,,,,,,,,,食品/商贸零售
阿里巴巴,4,驻云科技,上海驻云信息科技有限公司,0,C+轮,C,2020/11/12,2020,1,100000000,3,3,上海驻云信息科技有限公司成立于2013年，是国内领先的企业级智能数据服务平台提供商，致力于将普惠的计算能力落实到每家企业，让智能数据驱动企业核心业务。驻云科技深耕云计算管理和数据监控服务。  ,,,,,,,,,,,,,,,,,,,,,,,,企业服务
阿里巴巴,6,高鑫零售,高鑫零售有限公司,0,并购,Merger,2020/10/19,2020,235.8,23580000000,5,17,高鑫零售是一家大卖场运营商，通过线下连锁加盟，线上自建网络平台等模式进行产品销售，主要运营百货类、家纺及餐桌用品等，以“欧尚”及“大润发”两大知名品牌经营大卖场业务。  ,,,,,,,,,,,,,,,,,,,,,,,,食品/商贸零售
阿里巴巴,11,小满科技,深圳市小满科技有限公司,0,D轮,D,2020/8/26,2020,5,500000000,3,3,深圳市小满科技有限公司是一家外贸解决方案供应商，是大数据与人工智能公司，通过大数据与人工智能的产品、解决方案与服务，帮助中国企业拓展国际业务。  ,,,,,,,,,,,,,,,,,,,,,,,,企业服务
阿里巴巴,14,小鹏汽车,广州橙行智动汽车科技有限公司,0,C++轮,C,2020/8/5,2020,26.2,2620000000,4,10,小鹏汽车是一家电动汽车生产制造商，致力于应用新的技术、工艺和商业模式，打造年轻人喜爱的智能化电动汽车。汽车拥有低速自动驾驶跟随的功能，并为解决停车难的困扰，开发了包括自动泊车以及远程召唤的功能。隶属于广州橙行智动汽车科技有限公司。  ,,,,,,,,,,,,,,,,,,,,,,,,汽车交通
阿里巴巴,16,SQream,SQream Technologies Ltd.,以色列,B+轮,B,2020/6/28,2020,2.5807,258070000,3,3,SQream是一个GPU数据库提供商，为大数据集分析提供数据库服务，具有商业智能加速功能，可以根据大型数据集进行智能时间决策，旗下拥有用于分析数据集的GPU数据库“SQream DB”，具有快速访问数据的功能。  ,,,,,,,,,,,,,,,,,,,,,,,,企业服务
阿里巴巴,20,Ecoinno寰科创新,寰科创新有限公司,香港,A轮,A,2020/5/7,2020,0.5,50000000,2,16,Ecoinno寰科创新是一家位于香港科学园的绿色新材料研发商，致力于利用其独有的绿色复合材料（GCM™）开发多种类别的消费包装产品，该复合材料来自天然植物纤维，使用Ecoinno寰科创新先进专利技术加工而成。2020年2月12日，Ecoinno寰科创新荣获阿里巴巴Jumpstarter环球创业者比赛“智能城市领域优胜者“。  ,,,,,,,,,,,,,,,,,,,,,,,,科创/技术研发
阿里巴巴,21,弘量研究,弘量（深圳）投资管理有限公司,0,Pre-B轮,B,2020/5/5,2020,1.965,196500000,3,4,弘量研究为香港科技大学创新孵化项目下的金融科技公司，其开发的 AQUMON 智能投资引擎，通过金融、算法和科技三方面的结合，在境内结合境外，金融机构结合个人客户业务中布局，透过香港证监会 1 号（证券交易）、4 号（就证券提供意见）牌照和美国证监会注册投资顾问（RIA）牌照，在合规的前提下致力实现透明、稳定、实时和低成本理财体验。  ,,,,,,,,,,,,,,,,,,,,,,,,金融/支付
阿里巴巴,27,十荟团,北京十荟科技有限公司,0,B轮,B,2020/1/9,2020,5.78365,578365000,3,17,十荟团是一家美食社区电商服务平台，十荟团锁定社区果蔬、生鲜和家居用品，以社区为切入点，瞄准家庭日常消费场景，全力开拓二三线城市市场。搜罗全球生鲜美食，借助智能高效的供应链，把新鲜带给每个家庭，让福利惠及每位用户。  ,,,,,,,,,,,,,,,,,,,,,,,,食品/商贸零售
阿里巴巴,29,XpressBees,Busybees Logistics Solutions Pvt Ltd.,印度,D+轮,D,2019/12/27,2019,0.15,15000000,2,19,Xpressbees是于2015年创立的一家电子商务物流公司，公司提供最后一公里配送、逆向物流、托收货款、接代发货、供应商管理、跨境服务、专递服务和量身定制软件解决方案等服务。  ,,,,,,,,,,,,,,,,,,,,,,,,物流运输
阿里巴巴,32,WeLab,深圳卫盈智信科技有限公司,0,C轮,C,2019/12/12,2019,11,1100000000,4,4,我来数科是一个创新的互联网金融平台，为有资金需求和投资需求的年轻人提供互联网金融服务。  ,,,,,,,,,,,,,,,,,,,,,,,,金融/支付
