month,投资方,year,industry,num
1,阿里巴巴,2000,18,1
1,阿里巴巴,2005,17,1
1,腾讯,2008,2,1
1,腾讯,2008,12,1
1,阿里巴巴,2010,6,1
1,腾讯,2011,2,2
1,阿里巴巴,2011,5,1
1,阿里巴巴,2011,12,1
1,腾讯,2011,12,1
1,腾讯,2012,1,2
1,腾讯,2012,2,1
1,阿里巴巴,2012,6,1
1,腾讯,2012,6,1
1,腾讯,2012,12,2
1,阿里巴巴,2013,1,1
1,腾讯,2013,2,2
1,阿里巴巴,2013,6,2
1,腾讯,2013,6,1
1,阿里巴巴,2013,12,2
1,腾讯,2013,12,2
1,腾讯,2013,16,1
1,腾讯,2014,2,2
1,腾讯,2014,4,1
1,腾讯,2014,5,1
1,阿里巴巴,2014,7,1
1,腾讯,2014,10,2
1,腾讯,2014,18,1
1,腾讯,2014,19,1
1,阿里巴巴,2015,1,2
1,腾讯,2015,1,1
1,腾讯,2015,4,1
1,腾讯,2015,6,1
1,腾讯,2015,7,1
1,腾讯,2015,8,1
1,阿里巴巴,2015,10,1
1,腾讯,2015,11,3
1,阿里巴巴,2015,15,1
1,阿里巴巴,2015,19,1
1,腾讯,2016,1,1
1,腾讯,2016,4,3
1,腾讯,2016,5,1
1,腾讯,2016,7,1
1,腾讯,2016,11,2
1,阿里巴巴,2016,13,1
1,阿里巴巴,2016,14,1
1,阿里巴巴,2016,15,1
1,阿里巴巴,2017,1,2
1,腾讯,2017,1,3
1,阿里巴巴,2017,3,3
1,腾讯,2017,3,1
1,腾讯,2017,5,2
1,腾讯,2017,7,2
1,腾讯,2017,9,2
1,腾讯,2017,10,1
1,阿里巴巴,2017,11,2
1,腾讯,2017,12,1
1,阿里巴巴,2017,16,1
1,腾讯,2017,17,1
1,阿里巴巴,2018,1,1
1,腾讯,2018,1,3
1,腾讯,2018,2,3
1,腾讯,2018,3,1
1,腾讯,2018,6,1
1,腾讯,2018,7,1
1,腾讯,2018,8,1
1,阿里巴巴,2018,10,1
1,阿里巴巴,2018,13,1
1,阿里巴巴,2018,19,1
1,腾讯,2018,20,2
1,腾讯,2019,1,3
1,阿里巴巴,2019,4,1
1,腾讯,2019,7,3
1,腾讯,2019,10,1
1,阿里巴巴,2019,11,1
1,阿里巴巴,2019,12,1
1,阿里巴巴,2019,13,1
1,阿里巴巴,2019,17,2
1,阿里巴巴,2019,20,1
1,腾讯,2020,3,3
1,腾讯,2020,6,1
1,腾讯,2020,8,1
1,阿里巴巴,2020,16,1
1,阿里巴巴,2020,17,1
2,腾讯,2008,1,1
2,阿里巴巴,2011,6,1
2,腾讯,2012,2,2
2,阿里巴巴,2013,1,1
2,腾讯,2013,12,1
2,阿里巴巴,2014,1,1
2,阿里巴巴,2014,8,1
2,阿里巴巴,2014,10,1
2,腾讯,2014,11,1
2,腾讯,2014,12,1
2,腾讯,2014,15,1
2,阿里巴巴,2015,1,1
2,腾讯,2015,2,1
2,阿里巴巴,2015,5,1
2,腾讯,2015,6,1
2,腾讯,2015,10,1
2,腾讯,2015,11,2
2,阿里巴巴,2015,12,1
2,阿里巴巴,2015,14,1
2,腾讯,2016,1,1
2,阿里巴巴,2016,3,1
2,腾讯,2016,4,1
2,腾讯,2016,8,1
2,腾讯,2016,10,1
2,腾讯,2016,11,1
2,阿里巴巴,2016,12,1
2,阿里巴巴,2016,15,1
2,腾讯,2017,1,1
2,腾讯,2017,3,2
2,腾讯,2017,5,1
2,腾讯,2017,6,1
2,腾讯,2017,9,1
2,阿里巴巴,2018,1,1
2,腾讯,2018,1,6
2,腾讯,2018,2,2
2,阿里巴巴,2018,3,1
2,阿里巴巴,2018,4,1
2,腾讯,2018,6,2
2,腾讯,2018,8,1
2,腾讯,2018,15,1
2,阿里巴巴,2018,20,1
2,腾讯,2019,1,1
2,腾讯,2019,2,1
2,阿里巴巴,2019,4,1
2,阿里巴巴,2019,9,1
2,腾讯,2019,10,1
2,腾讯,2020,2,1
2,腾讯,2020,9,1
2,腾讯,2020,18,1
3,阿里巴巴,2009,2,1
3,腾讯,2009,2,1
3,腾讯,2010,6,1
3,阿里巴巴,2010,19,2
3,腾讯,2011,2,1
3,阿里巴巴,2011,6,1
3,腾讯,2011,6,1
3,腾讯,2012,2,2
3,腾讯,2012,4,3
3,腾讯,2012,12,1
3,腾讯,2013,6,1
3,腾讯,2013,12,1
3,阿里巴巴,2014,1,2
3,腾讯,2014,2,1
3,阿里巴巴,2014,3,1
3,腾讯,2014,4,1
3,腾讯,2014,6,2
3,阿里巴巴,2014,12,1
3,阿里巴巴,2014,15,1
3,阿里巴巴,2014,17,2
3,腾讯,2014,20,1
3,阿里巴巴,2015,1,1
3,腾讯,2015,1,2
3,阿里巴巴,2015,5,1
3,腾讯,2015,6,1
3,阿里巴巴,2015,8,1
3,腾讯,2015,11,1
3,阿里巴巴,2015,12,1
3,腾讯,2015,19,1
3,阿里巴巴,2016,1,1
3,腾讯,2016,1,3
3,腾讯,2016,2,1
3,阿里巴巴,2016,3,1
3,腾讯,2016,3,1
3,腾讯,2016,4,1
3,阿里巴巴,2016,5,1
3,腾讯,2016,5,2
3,阿里巴巴,2016,6,1
3,腾讯,2016,7,1
3,腾讯,2016,8,1
3,腾讯,2016,9,3
3,阿里巴巴,2016,10,1
3,腾讯,2016,12,1
3,腾讯,2016,16,1
3,阿里巴巴,2016,17,2
3,阿里巴巴,2016,20,1
3,阿里巴巴,2017,1,1
3,腾讯,2017,1,4
3,腾讯,2017,2,1
3,腾讯,2017,5,1
3,腾讯,2017,7,1
3,腾讯,2017,8,1
3,腾讯,2017,9,1
3,腾讯,2017,10,1
3,腾讯,2017,13,1
3,腾讯,2018,1,10
3,阿里巴巴,2018,2,1
3,腾讯,2018,2,4
3,腾讯,2018,3,1
3,腾讯,2018,4,2
3,腾讯,2018,6,2
3,腾讯,2018,8,2
3,腾讯,2018,9,2
3,阿里巴巴,2018,10,1
3,腾讯,2018,15,1
3,腾讯,2018,17,1
3,阿里巴巴,2018,20,1
3,阿里巴巴,2019,1,1
3,阿里巴巴,2019,3,2
3,腾讯,2019,3,1
3,腾讯,2019,4,1
3,腾讯,2019,5,2
3,腾讯,2019,6,1
3,阿里巴巴,2019,7,1
3,腾讯,2019,8,1
3,阿里巴巴,2019,11,1
3,腾讯,2019,11,1
3,腾讯,2019,12,1
3,腾讯,2019,13,1
3,阿里巴巴,2019,19,1
3,腾讯,2020,1,1
3,腾讯,2020,3,1
3,腾讯,2020,4,2
3,腾讯,2020,6,1
3,腾讯,2020,8,1
3,腾讯,2020,13,2
4,阿里巴巴,2010,6,1
4,阿里巴巴,2012,3,1
4,腾讯,2013,2,1
4,阿里巴巴,2013,3,2
4,阿里巴巴,2013,5,1
4,腾讯,2013,6,1
4,腾讯,2013,9,1
4,阿里巴巴,2013,10,1
4,腾讯,2013,10,1
4,阿里巴巴,2013,12,2
4,阿里巴巴,2013,15,1
4,阿里巴巴,2014,1,3
4,腾讯,2014,1,2
4,腾讯,2014,3,1
4,阿里巴巴,2014,9,1
4,阿里巴巴,2014,10,1
4,腾讯,2015,1,2
4,腾讯,2015,2,1
4,腾讯,2015,3,1
4,阿里巴巴,2015,6,1
4,腾讯,2015,6,1
4,腾讯,2015,7,1
4,腾讯,2015,11,1
4,阿里巴巴,2015,20,1
4,腾讯,2016,1,2
4,阿里巴巴,2016,3,1
4,阿里巴巴,2016,4,1
4,腾讯,2016,5,1
4,腾讯,2016,7,1
4,阿里巴巴,2016,8,1
4,阿里巴巴,2016,10,1
4,阿里巴巴,2016,11,1
4,腾讯,2016,19,2
4,腾讯,2016,20,1
4,腾讯,2017,2,1
4,阿里巴巴,2017,3,1
4,腾讯,2017,6,2
4,阿里巴巴,2017,9,1
4,阿里巴巴,2017,11,1
4,腾讯,2017,12,1
4,腾讯,2017,14,1
4,阿里巴巴,2017,19,1
4,腾讯,2017,20,1
4,阿里巴巴,2018,1,1
4,腾讯,2018,1,1
4,腾讯,2018,2,2
4,阿里巴巴,2018,3,1
4,腾讯,2018,3,2
4,阿里巴巴,2018,4,1
4,腾讯,2018,5,2
4,腾讯,2018,6,2
4,腾讯,2018,7,1
4,腾讯,2018,9,6
4,腾讯,2018,10,1
4,阿里巴巴,2018,11,1
4,阿里巴巴,2018,12,1
4,阿里巴巴,2018,13,2
4,腾讯,2018,13,1
4,阿里巴巴,2018,14,1
4,腾讯,2018,14,1
4,腾讯,2018,19,1
4,腾讯,2019,1,2
4,腾讯,2019,3,3
4,腾讯,2019,5,2
4,腾讯,2019,6,1
4,腾讯,2019,7,2
4,阿里巴巴,2019,10,1
4,腾讯,2019,10,2
4,腾讯,2019,14,1
4,腾讯,2019,16,2
4,腾讯,2020,1,1
4,腾讯,2020,3,1
4,腾讯,2020,4,1
4,腾讯,2020,9,1
4,阿里巴巴,2020,10,1
4,腾讯,2020,10,1
4,腾讯,2020,13,2
4,腾讯,2020,14,1
4,阿里巴巴,2020,16,1
4,阿里巴巴,2020,17,1
4,腾讯,2020,18,1
4,阿里巴巴,2020,19,1
5,阿里巴巴,2008,19,1
5,阿里巴巴,2009,6,1
5,腾讯,2010,2,1
5,阿里巴巴,2011,3,1
5,腾讯,2011,3,1
5,腾讯,2011,15,1
5,腾讯,2012,15,1
5,阿里巴巴,2013,10,1
5,阿里巴巴,2013,12,1
5,阿里巴巴,2013,19,1
5,腾讯,2014,2,2
5,阿里巴巴,2014,10,2
5,腾讯,2014,10,1
5,阿里巴巴,2014,11,1
5,腾讯,2014,11,1
5,阿里巴巴,2014,15,1
5,腾讯,2015,2,1
5,腾讯,2015,3,1
5,腾讯,2015,4,1
5,腾讯,2015,5,1
5,腾讯,2015,13,1
5,腾讯,2015,17,1
5,阿里巴巴,2015,19,1
5,腾讯,2015,19,1
5,腾讯,2016,1,5
5,腾讯,2016,3,1
5,腾讯,2016,5,2
5,腾讯,2016,6,1
5,腾讯,2016,8,1
5,腾讯,2016,9,1
5,阿里巴巴,2016,11,1
5,阿里巴巴,2016,12,1
5,腾讯,2016,14,1
5,阿里巴巴,2016,19,1
5,阿里巴巴,2017,1,1
5,腾讯,2017,1,3
5,腾讯,2017,3,1
5,腾讯,2017,4,2
5,腾讯,2017,5,1
5,腾讯,2017,8,1
5,腾讯,2017,9,1
5,腾讯,2017,14,1
5,阿里巴巴,2017,17,1
5,腾讯,2018,1,3
5,腾讯,2018,3,1
5,腾讯,2018,4,2
5,腾讯,2018,5,2
5,腾讯,2018,9,1
5,腾讯,2018,12,1
5,阿里巴巴,2018,13,1
5,腾讯,2018,13,1
5,腾讯,2018,15,1
5,腾讯,2018,17,1
5,阿里巴巴,2018,18,1
5,腾讯,2018,18,2
5,阿里巴巴,2018,19,1
5,腾讯,2019,1,1
5,阿里巴巴,2019,6,1
5,阿里巴巴,2019,7,1
5,阿里巴巴,2019,10,1
5,腾讯,2019,11,1
5,阿里巴巴,2019,13,1
5,腾讯,2019,15,1
5,腾讯,2019,16,1
5,腾讯,2019,17,1
5,腾讯,2019,18,1
5,阿里巴巴,2019,20,1
5,阿里巴巴,2020,4,1
5,腾讯,2020,8,1
5,腾讯,2020,12,1
5,腾讯,2020,13,1
5,腾讯,2020,17,1
5,阿里巴巴,2020,18,1
6,阿里巴巴,2005,6,1
6,阿里巴巴,2008,19,1
6,阿里巴巴,2009,12,1
6,腾讯,2010,3,1
6,腾讯,2011,5,1
6,阿里巴巴,2011,6,1
6,腾讯,2011,6,1
6,腾讯,2012,16,1
6,阿里巴巴,2012,19,1
6,阿里巴巴,2013,6,1
6,阿里巴巴,2013,10,1
6,阿里巴巴,2014,1,1
6,腾讯,2014,1,1
6,阿里巴巴,2014,5,2
6,腾讯,2014,7,1
6,腾讯,2014,9,1
6,腾讯,2014,11,2
6,阿里巴巴,2014,12,1
6,阿里巴巴,2014,19,1
6,阿里巴巴,2015,1,3
6,腾讯,2015,2,2
6,阿里巴巴,2015,3,1
6,腾讯,2015,8,1
6,阿里巴巴,2015,10,1
6,腾讯,2015,10,1
6,阿里巴巴,2015,11,1
6,腾讯,2015,11,1
6,腾讯,2015,12,1
6,腾讯,2015,14,1
6,阿里巴巴,2015,16,1
6,阿里巴巴,2015,19,1
6,腾讯,2015,20,1
6,阿里巴巴,2016,1,1
6,阿里巴巴,2016,3,2
6,腾讯,2016,5,1
6,阿里巴巴,2016,6,1
6,腾讯,2016,6,1
6,腾讯,2016,7,1
6,腾讯,2016,8,1
6,腾讯,2016,9,1
6,阿里巴巴,2016,10,1
6,腾讯,2016,10,1
6,腾讯,2016,14,1
6,腾讯,2017,1,2
6,腾讯,2017,2,1
6,阿里巴巴,2017,3,2
6,阿里巴巴,2017,4,1
6,腾讯,2017,4,1
6,阿里巴巴,2017,9,1
6,腾讯,2017,9,1
6,腾讯,2017,10,1
6,腾讯,2017,12,1
6,阿里巴巴,2017,13,1
6,腾讯,2017,14,1
6,腾讯,2018,1,2
6,腾讯,2018,2,1
6,阿里巴巴,2018,3,1
6,腾讯,2018,3,1
6,阿里巴巴,2018,5,2
6,腾讯,2018,5,1
6,腾讯,2018,6,1
6,腾讯,2018,8,2
6,腾讯,2018,18,1
6,腾讯,2018,20,1
6,腾讯,2019,1,2
6,腾讯,2019,3,1
6,腾讯,2019,4,1
6,腾讯,2019,5,1
6,腾讯,2019,8,2
6,腾讯,2019,12,1
6,腾讯,2019,13,1
6,阿里巴巴,2019,20,1
6,腾讯,2019,20,1
6,阿里巴巴,2020,1,1
6,腾讯,2020,2,1
6,腾讯,2020,3,1
6,腾讯,2020,4,1
6,腾讯,2020,6,1
6,腾讯,2020,7,1
6,腾讯,2020,8,1
6,阿里巴巴,2020,14,1
6,腾讯,2020,19,1
7,腾讯,2008,2,1
7,阿里巴巴,2011,11,1
7,腾讯,2012,1,1
7,腾讯,2012,2,2
7,阿里巴巴,2013,3,1
7,阿里巴巴,2013,15,1
7,腾讯,2014,1,1
7,腾讯,2014,2,2
7,腾讯,2014,8,1
7,腾讯,2014,11,1
7,腾讯,2014,12,1
7,阿里巴巴,2015,1,1
7,腾讯,2015,1,1
7,腾讯,2015,2,2
7,阿里巴巴,2015,3,1
7,腾讯,2015,5,1
7,阿里巴巴,2015,6,1
7,腾讯,2015,6,1
7,腾讯,2015,9,2
7,阿里巴巴,2015,10,1
7,腾讯,2015,10,3
7,腾讯,2015,11,1
7,阿里巴巴,2015,14,1
7,腾讯,2015,14,1
7,腾讯,2015,15,1
7,腾讯,2015,16,1
7,腾讯,2016,1,3
7,腾讯,2016,3,1
7,腾讯,2016,4,1
7,腾讯,2016,5,1
7,腾讯,2016,6,1
7,腾讯,2016,7,1
7,阿里巴巴,2016,12,1
7,阿里巴巴,2016,19,1
7,腾讯,2017,1,3
7,腾讯,2017,2,1
7,腾讯,2017,3,1
7,腾讯,2017,5,2
7,腾讯,2017,6,1
7,阿里巴巴,2017,9,1
7,阿里巴巴,2017,10,1
7,腾讯,2017,12,1
7,腾讯,2017,16,1
7,阿里巴巴,2018,1,4
7,腾讯,2018,1,4
7,阿里巴巴,2018,3,1
