投资方,年份,行业,数量,平均数
腾讯,2008,2,1,72050000
腾讯,2010,1,1,81700000
阿里巴巴,2010,6,1,0
腾讯,2012,2,1,0
腾讯,2012,5,3,152673333.3
腾讯,2013,2,4,78600000
阿里巴巴,2013,6,1,1349300000
腾讯,2013,9,1,524000000
阿里巴巴,2013,17,1,1113500000
腾讯,2013,22,1,7860000
阿里巴巴,2014,2,2,100000000
腾讯,2014,2,5,1044725000
阿里巴巴,2014,5,1,1834000000
腾讯,2014,5,2,101525000
腾讯,2014,6,1,229250000
腾讯,2014,7,1,15065000
腾讯,2014,9,1,98250000
阿里巴巴,2014,10,1,1637500000
腾讯,2014,10,1,88425000
腾讯,2014,13,1,0
腾讯,2014,14,1,85150000
腾讯,2014,16,1,52400000
腾讯,2014,18,1,108075000
阿里巴巴,2014,19,1,1965000000
腾讯,2014,21,1,34060000
阿里巴巴,2014,22,1,98250000
阿里巴巴,2015,1,1,25000000
阿里巴巴,2015,2,1,65500000
腾讯,2015,2,7,95131750
腾讯,2015,3,2,52400000
阿里巴巴,2015,4,1,4454000000
腾讯,2015,4,1,327500000
阿里巴巴,2015,5,1,3517350000
腾讯,2015,5,2,168662500
阿里巴巴,2015,6,3,1352833333
腾讯,2015,7,6,118827916.7
阿里巴巴,2015,10,1,982500000
腾讯,2015,10,2,720500000
腾讯,2015,11,1,131000000
阿里巴巴,2015,12,1,32750000
腾讯,2015,12,2,32750000
腾讯,2015,14,1,32750000
阿里巴巴,2015,16,2,50000000
腾讯,2015,16,3,33186666.67
阿里巴巴,2015,19,2,779450000
阿里巴巴,2015,20,1,72050000
腾讯,2015,21,1,67465000
腾讯,2015,22,1,22925000
阿里巴巴,2016,1,1,195000000
腾讯,2016,1,4,362500000
腾讯,2016,2,2,56330000000
阿里巴巴,2016,3,2,163750000
腾讯,2016,3,2,163750000
腾讯,2016,4,1,8515000
腾讯,2016,5,2,159001250
阿里巴巴,2016,6,4,2413238333
腾讯,2016,6,1,0
阿里巴巴,2016,7,1,0
腾讯,2016,7,1,85150000
腾讯,2016,9,1,65500000
阿里巴巴,2016,10,1,6550000000
阿里巴巴,2016,11,1,32750000
腾讯,2016,12,2,638625000
腾讯,2016,13,1,98250000
腾讯,2016,15,1,1637500000
腾讯,2016,16,1,19650000
阿里巴巴,2016,21,2,2659300000
腾讯,2016,21,1,327500000
阿里巴巴,2016,22,2,108075000
腾讯,2016,22,2,143215750
腾讯,2017,1,1,124450000
腾讯,2017,2,3,370730000
阿里巴巴,2017,3,1,176850000
腾讯,2017,3,2,64845000
阿里巴巴,2017,4,6,614881250
腾讯,2017,4,1,34387500
腾讯,2017,5,1,353700000
阿里巴巴,2017,6,4,3772800000
腾讯,2017,6,1,9170000000
阿里巴巴,2017,7,1,3288099999
腾讯,2017,7,3,240166666.7
腾讯,2017,8,2,265275000
腾讯,2017,10,5,8298850000
阿里巴巴,2017,11,1,130000000
阿里巴巴,2017,12,1,0
腾讯,2017,12,1,72050000
阿里巴巴,2017,13,1,32750000
腾讯,2017,13,2,366800000
腾讯,2017,16,1,176850000
阿里巴巴,2017,17,2,939270000
腾讯,2017,18,1,1965000000
阿里巴巴,2017,21,4,109712500
腾讯,2017,21,1,19650000
腾讯,2017,22,1,32750000
腾讯,2018,1,5,4527687500
阿里巴巴,2018,2,1,0
腾讯,2018,2,5,1247279967
阿里巴巴,2018,3,4,106110000
阿里巴巴,2018,4,3,1464375000
腾讯,2018,4,4,856412500
阿里巴巴,2018,6,9,5809440625
阿里巴巴,2018,7,2,0
腾讯,2018,7,2,154252500
阿里巴巴,2018,8,1,0
阿里巴巴,2018,9,1,6550000000
阿里巴巴,2018,10,4,283833333.3
腾讯,2018,10,3,25545000000
阿里巴巴,2018,11,3,671375000
腾讯,2018,11,2,3930000000
腾讯,2018,12,1,982500000
阿里巴巴,2018,14,1,0
阿里巴巴,2018,15,2,45850000
阿里巴巴,2018,16,2,0
阿里巴巴,2018,17,2,1965000000
腾讯,2018,18,1,52400000
阿里巴巴,2018,19,1,229250000
腾讯,2018,19,1,65500000
阿里巴巴,2018,20,1,0
阿里巴巴,2018,21,3,524000000
阿里巴巴,2018,22,1,0
腾讯,2019,2,6,277099333.3
阿里巴巴,2019,3,1,711000000
腾讯,2019,3,1,163750000
阿里巴巴,2019,4,2,58950000
腾讯,2019,4,9,1359125000
腾讯,2019,5,4,590891875
腾讯,2019,6,1,9170000000
腾讯,2019,8,1,74670000
阿里巴巴,2019,9,1,655000000
腾讯,2019,9,1,725740000
腾讯,2019,10,1,6025999999
阿里巴巴,2019,11,1,0
阿里巴巴,2019,12,1,13755000
腾讯,2019,13,1,157200000
腾讯,2019,16,1,327500000
阿里巴巴,2019,17,1,982500000
阿里巴巴,2019,19,2,15000000
阿里巴巴,2019,21,3,255450000
腾讯,2019,22,2,98250000
腾讯,2020,1,4,733600000
腾讯,2020,2,4,697575000
阿里巴巴,2020,3,1,258070000
腾讯,2020,3,3,867150000
腾讯,2020,4,4,577718733.3
腾讯,2020,6,2,4748750000
腾讯,2020,7,1,805650000
腾讯,2020,8,2,98250000
腾讯,2020,9,1,0
腾讯,2020,10,1,1572000000
腾讯,2020,11,1,281650000
阿里巴巴,2020,16,1,50000000
阿里巴巴,2020,17,2,393000000
腾讯,2020,18,2,301300000
