投资方,年份,行业,数量,平均数
阿里巴巴,2000,18,1,0
阿里巴巴,2005,6,1,0
阿里巴巴,2005,17,1,0
腾讯,2008,1,1,0
腾讯,2008,2,3,58150000
腾讯,2008,12,1,50000000
阿里巴巴,2008,19,2,56625000
阿里巴巴,2009,2,1,50000000
腾讯,2009,2,1,19650000
阿里巴巴,2009,6,1,13100000
阿里巴巴,2009,12,1,327500000
阿里巴巴,2009,14,1,434999999
腾讯,2009,22,1,50000000
腾讯,2010,1,1,81700000
腾讯,2010,2,2,50000000
阿里巴巴,2010,3,1,100000000
腾讯,2010,3,2,157200000
腾讯,2010,4,1,0
阿里巴巴,2010,6,4,17875000
腾讯,2010,6,1,0
腾讯,2010,9,1,50000000
阿里巴巴,2010,10,1,229250000
腾讯,2010,11,1,50000000
阿里巴巴,2010,12,1,314400000
阿里巴巴,2010,19,3,198750000
阿里巴巴,2010,22,1,0
腾讯,2011,1,1,50000000
腾讯,2011,2,5,366800000
阿里巴巴,2011,3,1,98250000
腾讯,2011,3,2,50000000
腾讯,2011,4,1,380000000
阿里巴巴,2011,5,1,50000000
腾讯,2011,5,3,36666666.67
阿里巴巴,2011,6,5,103700000
腾讯,2011,6,2,327500000
阿里巴巴,2011,11,1,327500000
阿里巴巴,2011,12,1,0
腾讯,2011,12,2,121830000
腾讯,2011,14,1,40000000
腾讯,2011,15,1,550200000
腾讯,2011,22,1,130000000
阿里巴巴,2012,1,1,0
腾讯,2012,1,3,44250000
腾讯,2012,2,9,89687500
阿里巴巴,2012,3,1,50000000
腾讯,2012,3,1,50000000
腾讯,2012,4,3,50000000
阿里巴巴,2012,5,1,187985000
腾讯,2012,5,5,116604000
阿里巴巴,2012,6,1,50000000
腾讯,2012,6,2,327500000
阿里巴巴,2012,11,1,327500000
腾讯,2012,12,5,84700000
腾讯,2012,15,1,50000000
腾讯,2012,16,1,50000000
阿里巴巴,2012,19,1,50000000
腾讯,2012,22,2,27500000
阿里巴巴,2013,1,3,5000000
腾讯,2013,2,8,59706250
阿里巴巴,2013,3,3,180125000
腾讯,2013,3,2,50000000
阿里巴巴,2013,4,1,0
腾讯,2013,4,2,50000000
阿里巴巴,2013,5,2,2027225000
阿里巴巴,2013,6,4,444200000
腾讯,2013,6,3,114625000
腾讯,2013,9,2,287000000
阿里巴巴,2013,10,3,1689900000
腾讯,2013,10,1,98250000
腾讯,2013,11,1,4000000
阿里巴巴,2013,12,9,606342857.1
腾讯,2013,12,6,840475000
阿里巴巴,2013,15,2,425750000
腾讯,2013,16,1,0
阿里巴巴,2013,17,2,720500000
阿里巴巴,2013,19,1,100000000
阿里巴巴,2013,20,1,2384200000
腾讯,2013,22,3,26120000
