Date,marketvalue
2008/8/1,150
2008/9/1,150
2008/10/1,150
2008/11/1,150
2008/12/1,150
2009/1/1,150
2009/2/1,150
2009/3/1,150
2009/4/1,150
2009/5/1,150
2009/6/1,150
2009/7/1,150
2009/8/1,150
2009/9/1,150
2009/10/1,150
2009/11/1,150
2009/12/1,150
2010/1/1,150
2010/2/1,150
2010/3/1,150
2010/4/1,150
2010/5/1,150
2010/6/1,150
2010/7/1,150
2010/8/1,150
2010/9/1,150
2010/10/1,150
2010/11/1,150
2010/12/1,150
2011/1/1,150
2011/2/1,150
2011/3/1,150
2011/4/1,150
2011/5/1,150
2011/6/1,150
2011/7/1,150
2011/8/1,150
2011/9/1,150
2011/10/1,150
2011/11/1,150
2011/12/1,150
2012/1/1,150
2012/2/1,150
2012/3/1,150
2012/4/1,150
2012/5/1,150
2012/6/1,150
2012/7/1,150
2012/8/1,150
2012/9/1,150
2012/10/1,150
2012/11/1,150
2012/12/1,150
2013/1/1,150
2013/2/1,150
2013/3/1,150
2013/4/1,150
2013/5/1,150
2013/6/1,150
2013/7/1,150
2013/8/1,150
2013/9/1,150
2013/10/1,150
2013/11/1,150
2013/12/1,150
2014/1/1,150
2014/2/1,150
2014/3/1,150
2014/4/1,150
2014/5/1,150
2014/6/1,150
2014/7/1,150
2014/8/1,150
2014/9/1,2190.157782
2014/10/1,2430.495867
2014/11/1,2775.021277
2014/12/1,2583.623429
2015/1/1,2215.699539
2015/2/1,2117.201922
2015/3/1,2070.44029
2015/4/1,2021.937738
2015/5/1,2221.669043
2015/6/1,2066.974029
2015/7/1,1968.235603
2015/8/1,1661.217138
2015/9/1,1483.956369
2015/10/1,2109.548301
2015/11/1,2115.83945
2015/12/1,2045.126804
2016/1/1,1686.782979
2016/2/1,1731.575938
2016/3/1,1988.758155
2016/4/1,1936.16422
2016/5/1,2046.126894
2016/6/1,1984.493535
2016/7/1,2058.104297
2016/8/1,2425.159475
2016/9/1,2639.753246
2016/10/1,2537.446926
2016/11/1,2346.059078
2016/12/1,2191.10242
2017/1/1,2527.964775
2017/2/1,2567.639774
2017/3/1,2690.656916
2017/4/1,2882.044589
2017/5/1,3055.715822
2017/6/1,3515.844721
2017/7/1,3866.431172
2017/8/1,4285.388329
2017/9/1,4309.592563
2017/10/1,4613.517066
2017/11/1,4418.63603
2017/12/1,4302.605439
2018/1/1,5097.600596
2018/2/1,4644.708024
2018/3/1,4579.830681
2018/4/1,4455.066846
2018/5/1,4940.897269
2018/6/1,4629.486837
2018/7/1,4853.346561
2018/8/1,4536.581614
2018/9/1,4270.882723
2018/10/1,3688.159796
2018/11/1,4169.787691
2018/12/1,3553.107201
2019/1/1,4367.571457
2019/2/1,4744.474898
2019/3/1,4729.440178
2019/4/1,4810.316587
2019/5/1,3869.094157
2019/6/1,4399.774763
2019/7/1,36056.3341
2019/8/1,36456.24219
2019/9/1,34831.61327
2019/10/1,36797.83049
2019/11/1,42773.5686
2019/12/1,45520.44579
2020/1/1,44337.89933
2020/2/1,44640.51134
2020/3/1,41738.87725
2020/4/1,43496.59781
2020/5/1,44509.59425
2020/6/1,46293.06809
2020/7/1,54313.96438
2020/8/1,62127.90965
2020/9/1,63632.24619
2020/10/1,65950.43369
2020/11/1,57004.51315
2020/12/1,50374.62361
